24687165,Arterial stiffness and beta-amyloid progression in nondemented elderly adults.,JAMA Neurol,Hughes TM and Kuller LH and Barinas-Mitchell EJ and McDade EM and Klunk WE and Cohen AD and Mathis CA and Dekosky ST and Price JC and Lopez OL,Missing,"IMPORTANCE: Recent studies show that cerebral beta-amyloid (Abeta) deposition is associated with blood pressure and measures of arterial stiffness in nondemented individuals. OBJECTIVE: To examine the association between measures of arterial stiffness and change in Abeta deposition over time. DESIGN, SETTING, AND PARTICIPANTS: Deposition of Abeta was determined in a longitudinal observational study of aging by positron emission tomography using the Pittsburgh compound B twice 2 years apart in 81 nondemented individuals 83 years and older. Arterial stiffness was measured with a noninvasive and automated waveform analyzer at the time closest to the second positron emission tomography scan. All measures were performed under standardized conditions. Pulse wave velocity (PWV) was measured in the central (carotid-femoral and heart-femoral PWV), peripheral (femoral-ankle PWV), and mixed (brachial-ankle PWV) vascular beds. MAIN OUTCOMES AND MEASURES: The change in Abeta deposition over 2 years was calculated from the 81 individuals with repeat Abeta-positron emission tomography. RESULTS: The proportion of Abeta-positive individuals increased from 48% at baseline to 75% at follow-up. Brachial-ankle PWV was significantly higher among Abeta-positive participants at baseline and follow-up. Femoral-ankle PWV was only higher among Abeta-positive participants at follow-up. Measures of central stiffness and blood pressure were not associated with Abeta status at baseline or follow-up, but central stiffness was associated with a change in Abeta deposition over time. Each standard deviation increase in central stiffness (carotid-femoral PWV, P = .001; heart-femoral PWV, P = .004) was linked with increases in Abeta deposition over 2 years. CONCLUSIONS AND RELEVANCE: This study showed that Abeta deposition increases with age in nondemented individuals and that arterial stiffness is strongly associated with the progressive deposition of Abeta in the brain, especially in this age group. The association between Abeta deposition changes over time and generalized arterial stiffness indicated a relationship between the severity of subclinical vascular disease and progressive cerebral Abeta deposition.","Aged, 80 and over Amyloid beta-Peptides/biosynthesis/*metabolism/physiology *Disease Progression Double-Blind Method Female Follow-Up Studies Humans Longitudinal Studies Male Time Factors Vascular Stiffness/*physiology"
24887073,"The prevalence of confirmed maltreatment among US children, 2004 to 2011.",JAMA Pediatr,Wildeman C and Emanuel N and Leventhal JM and Putnam-Hornstein E and Waldfogel J and Lee H,Missing,"IMPORTANCE: Child maltreatment is a risk factor for poor health throughout the life course. Existing estimates of the proportion of the US population maltreated during childhood are based on retrospective self-reports. Records of officially confirmed maltreatment have been used to produce annual rather than cumulative counts of maltreated individuals. OBJECTIVE: To estimate the proportion of US children with a report of maltreatment (abuse or neglect) that was indicated or substantiated by Child Protective Services (referred to as confirmed maltreatment) by 18 years of age. DESIGN, SETTING, AND PARTICIPANTS: The National Child Abuse and Neglect Data System (NCANDS) Child File includes information on all US children with a confirmed report of maltreatment, totaling 5,689,900 children (2004-2011). We developed synthetic cohort life tables to estimate the cumulative prevalence of confirmed childhood maltreatment by 18 years of age. MAIN OUTCOMES AND MEASURES: The cumulative prevalence of confirmed child maltreatment by race/ethnicity, sex, and year. RESULTS: At 2011 rates, 12.5% (95% CI, 12.5%-12.6%) of US children will experience a confirmed case of maltreatment by 18 years of age. Girls have a higher cumulative prevalence (13.0% [95% CI, 12.9%-13.0%]) than boys (12.0% [12.0%-12.1%]). Black (20.9% [95% CI, 20.8%-21.1%]), Native American (14.5% [14.2%-14.9%]), and Hispanic (13.0% [12.9%-13.1%]) children have higher prevalences than white (10.7% [10.6%-10.8%]) or Asian/Pacific Islander (3.8% [3.7%-3.8%]) children. The risk for maltreatment is highest in the first few years of life; 2.1% (95% CI, 2.1%-2.1%) of children have confirmed maltreatment by 1 year of age, and 5.8% (5.8%-5.9%), by 5 years of age. Estimates from 2011 were consistent with those from 2004 through 2010. CONCLUSIONS AND RELEVANCE: Annual rates of confirmed child maltreatment dramatically understate the cumulative number of children confirmed to be maltreated during childhood. Our findings indicate that maltreatment will be confirmed for 1 in 8 US children by 18 years of age, far greater than the 1 in 100 children whose maltreatment is confirmed annually. For black children, the cumulative prevalence is 1 in 5; for Native American children, 1 in 7.",Missing
23843028,Effect of the 16-hour work limit on general surgery intern operative case volume: a multi-institutional study.,JAMA Surg,Schwartz SI and Galante J and Kaji A and Dolich M and Easter D and Melcher ML and Patel K and Reeves ME and Salim A and Senagore AJ and Takanishi DM Jr and de Virgilio C,Missing,"IMPORTANCE: The 80-hour work-week limit for all residents was instituted in 2003 and studies looking at its effect have been mixed. Since the advent of the 16-hour mandate for postgraduate year 1 residents in July 2011, no data have been published regarding the effect of this additional work-hour restriction. OBJECTIVE: To determine whether the 16-hour intern work limit, implemented in July 2011, has adversely affected operative experience. DESIGN, SETTING, AND PARTICIPANTS: A retrospective review of categorical postgraduate year 1 Accreditation Council for Graduate Medical Education case logs from the intern class (N = 52) (with 16-hour work limit) compared with the 4 preceding years (2007-2010; N = 197) (without 16-hour work limit). A total of 249 categorical general surgery interns from 10 general surgery residency programs in the western United States were included. MAIN OUTCOMES AND MEASURES: Total, major, first-assistant, and defined-category case totals. RESULTS: As compared with the preceding 4 years, the 2011-2012 interns recorded a 25.8% decrease in total operative cases (65.9 vs 88.8, P = .005), a 31.8% decrease in major cases (54.9 vs 80.5, P < .001), and a 46.3% decrease in first-assistant cases (11.1 vs 20.7, P = .008). There were statistically significant decreases in cases within the defined categories of abdomen, endocrine, head and neck, basic laparoscopy, complex laparoscopy, pediatrics, thoracic, and soft tissue/breast surgery in the 16-hour shift intern era, whereas there was no decrease in trauma, vascular, alimentary, endoscopy, liver, and pancreas cases. CONCLUSIONS AND RELEVANCE: The 16-hour work limit for interns, implemented in July 2011, is associated with a significant decrease in categorical intern operative experience. If the 16-hour shift were to be extended to all postgraduate year levels, one can anticipate that additional years of training will be needed to maintain the same operative volume.","*Education, Medical, Graduate General Surgery/*education Humans *Internship and Residency Retrospective Studies United States Work Schedule Tolerance Workload/*standards"
24899268,Surgical vs medical treatments for type 2 diabetes mellitus: a randomized clinical trial.,JAMA Surg,Courcoulas AP and Goodpaster BH and Eagleton JK and Belle SH and Kalarchian MA and Lang W and Toledo FG and Jakicic JM,Missing,"IMPORTANCE: Many questions remain unanswered about the role of bariatric surgery for people with type 2 diabetes mellitus (T2DM). OBJECTIVE: To determine feasibility of a randomized clinical trial (RCT) and compare initial outcomes of bariatric surgery and a structured weight loss program for treating T2DM in participants with grades I and II obesity. DESIGN, SETTING, AND PARTICIPANTS: A 12-month, 3-arm RCT at a single center including 69 participants aged 25 to 55 years with a body mass index (calculated as weight in kilograms divided by height in meters squared) of 30 to 40 and T2DM. INTERVENTIONS: Roux-en-Y gastric bypass (RYGB), laparoscopic adjustable gastric banding (LAGB), and an intensive lifestyle weight loss intervention (LWLI). MAIN OUTCOMES AND MEASURES: Primary outcomes in the intention-to-treat cohort were feasibility and effectiveness measured by weight loss and improvements in glycemic control. RESULTS: Of 667 potential participants who underwent screening, 69 (10.3%) were randomized. Among the randomized participants, 30 (43%) had grade I obesity, and 56 (81%) were women. Mean (SD) age was 47.3 (6.4) years and hemoglobin A1c level, 7.9% (2.0%). After randomization, 7 participants (10%) refused to undergo their allocated intervention (3 RYGB, 1 LAGB, and 3 LWLI), and 1 RYGB participant was excluded for current smoking. Twenty participants underwent RYGB; 21, LAGB; and 20, LWLI, with 12-month retention rates of 90%, 86%, and 70%, respectively. In the intention-to-treat cohort with multiple imputation for missing data, RYGB participants had the greatest mean weight loss from baseline (27.0%; 95% CI, 30.8-23.3) compared with LAGB (17.3%; 95% CI, 21.1-13.5) and LWLI (10.2%; 95% CI, 14.8-5.61) (P < .001). Partial and complete remission of T2DM were 50% and 17%, respectively, in the RYGB group and 27% and 23%, respectively, in the LAGB group (P < .001 and P = .047 between groups for partial and complete remission), with no remission in the LWLI group. Significant reductions in use of antidiabetics occurred in both surgical groups. No deaths were noted. The 3 serious adverse events included 1 ulcer treated medically in the RYGB group and 2 rehospitalizations for dehydration in the LAGB group. CONCLUSIONS AND RELEVANCE: This study highlights several potential challenges to successful completion of a larger RCT for treatment of T2DM and obesity in patients with a body mass index of 30 to 40, including the difficulties associated with recruiting and randomizing patients to surgical vs nonsurgical interventions. Preliminary results show that RYGB was the most effective treatment, followed by LAGB for weight loss and T2DM outcomes at 1 year. TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT01047735.","Adult *Bariatric Surgery Body Mass Index Comorbidity Diabetes Mellitus, Type 2/*surgery/therapy Feasibility Studies Female Humans Life Style Male Middle Aged Prospective Studies Questionnaires Remission Induction Treatment Outcome *Weight Loss"
25222507,Timeliness of Care in US Emergency Departments: An Analysis of Newly Released Metrics From the Centers for Medicare & Medicaid Services.,JAMA Intern Med,Le ST and Hsia RY,Missing,Missing,Missing
24589630,Association of a television in the bedroom with increased adiposity gain in a nationally representative sample of children and adolescents.,JAMA Pediatr,Gilbert-Diamond D and Li Z and Adachi-Mejia AM and McClure AC and Sargent JD,Missing,"IMPORTANCE: Obesity affects health in children and adolescents. Television viewing is an established risk factor for obesity in youth. No prospective study has assessed whether a bedroom television confers an additional risk for obesity in youth. OBJECTIVE: To assess the prospective association between the presence of a bedroom television and change in body mass index (BMI; calculated as weight in kilograms divided by height in meters squared), independent of television viewing, in a nationally representative sample of US children and adolescents. DESIGN, SETTING, AND PARTICIPANTS: We conducted a random-digit prospective telephone survey that captured children and adolescents from across the United States. Participants included 6522 boys and girls aged 10 to 14 years at baseline who were surveyed via telephone about media risk factors for obesity.Weighted regressions assessed adiposity at 2- and 4-year follow-up, controlling for television and movie viewing, video-game playing, parenting, age, sex, race or ethnicity, household income, and parental educational level. EXPOSURE: Report of having a television in the bedroom at baseline. MAIN OUTCOMES AND MEASURES: Age- and sex-adjusted BMI based on self-report and parent report of weight and height at 2- and 4-year follow-up. RESULTS: Distributions for age, sex, race or ethnicity, and socioeconomic status were similar to census estimates for the US population. Sample weighting methods accounted for higher dropout rates among ethnic minorities and those with lower socioeconomic status. Bedroom televisions were reported by 59.1%of participants at baseline, with boys, ethnic minorities, and those of lower socioeconomic status having significantly higher rates. In multivariate analyses, having a bedroom television was associated with an excess BMI of 0.57 (95%CI, 0.31-0.82) and 0.75 (0.38-1.12) at years 2 and 4, respectively, and a BMI gain of 0.24 (0.02-0.45) from years 2 to 4. CONCLUSIONS AND RELEVANCE: Having a bedroom television is associated with weight gain beyond the effect of television viewing time. This association could be the result of uncaptured effects of television viewing or of disrupted sleep patterns. With the high prevalence of bedroom televisions, the effect attributable to this risk factor among US children and adolescents is excess weight of 8.7 million kg/y.",Adolescent Body Height *Body Mass Index *Body Weight Child Female Follow-Up Studies Humans Male Prospective Studies Risk Factors Television/*statistics & numerical data United States/epidemiology Video Games/statistics & numerical data
24247555,Patterns of breast magnetic resonance imaging use in community practice.,JAMA Intern Med,Wernli KJ and DeMartini WB and Ichikawa L and Lehman CD and Onega T and Kerlikowske K and Henderson LM and Geller BM and Hofmann M and Yankaskas BC,Missing,"IMPORTANCE: Breast magnetic resonance imaging (MRI) is increasingly used for breast cancer screening, diagnostic evaluation, and surveillance. However, we lack data on national patterns of breast MRI use in community practice. OBJECTIVE: To describe patterns of breast MRI use in US community practice during the period 2005 through 2009. DESIGN, SETTING, AND PARTICIPANTS: Observational cohort study using data collected from 2005 through 2009 on breast MRI and mammography from 5 national Breast Cancer Surveillance Consortium registries. Data included 8931 breast MRI examinations and 1,288,924 screening mammograms from women aged 18 to 79 years. MAIN OUTCOMES AND MEASURES: We calculated the rate of breast MRI examinations per 1000 women with breast imaging within the same year and described the clinical indications for the breast MRI examinations by year and age. We compared women screened with breast MRI to women screened with mammography alone for patient characteristics and lifetime breast cancer risk. RESULTS: The overall rate of breast MRI from 2005 through 2009 nearly tripled from 4.2 to 11.5 examinations per 1000 women, with the most rapid increase from 2005 to 2007 (P = .02). The most common clinical indication was diagnostic evaluation (40.3%), followed by screening (31.7%). Compared with women who received screening mammography alone, women who underwent screening breast MRI were more likely to be younger than 50 years, white non-Hispanic, and nulliparous and to have a personal history of breast cancer, a family history of breast cancer, and extremely dense breast tissue (all P < .001). The proportion of women screened using breast MRI at high lifetime risk for breast cancer (>20%) increased during the study period from 9% in 2005 to 29% in 2009. CONCLUSIONS AND RELEVANCE: Use of breast MRI for screening in high-risk women is increasing. However, our findings suggest that there is a need to improve appropriate use, including among women who may benefit from screening breast MRI.",Adolescent Adult Age Factors Aged Breast/*pathology Breast Neoplasms/*diagnosis Cohort Studies Early Detection of Cancer/*methods Female Humans Magnetic Resonance Imaging/*utilization Mammography/utilization Middle Aged Risk Factors United States Young Adult
24590048,Predictors of suicide and accident death in the Army Study to Assess Risk and Resilience in Servicemembers (Army STARRS): results from the Army Study to Assess Risk and Resilience in Servicemembers (Army STARRS).,JAMA Psychiatry,Schoenbaum M and Kessler RC and Gilman SE and Colpe LJ and Heeringa SG and Stein MB and Ursano RJ and Cox KL,Missing,"IMPORTANCE: The Army Study to Assess Risk and Resilience in Servicemembers (Army STARRS) is a multicomponent study designed to generate actionable recommendations to reduce Army suicides and increase knowledge of risk and resilience factors for suicidality. OBJECTIVES: To present data on prevalence, trends, and basic sociodemographic and Army experience correlates of suicides and accident deaths among active duty Regular Army soldiers between January 1, 2004, and December 31, 2009, and thereby establish a foundation for future Army STARRS investigations. DESIGN, SETTING, AND PARTICIPANTS: Analysis of trends and predictors of suicide and accident deaths using Army and Department of Defense administrative data systems. Participants were all members of the US Regular Army serving at any time between 2004 and 2009. MAIN OUTCOMES AND MEASURES: Death by suicide or accident during active Army service. RESULTS: The suicide rate rose between 2004 and 2009 among never deployed and currently and previously deployed Regular Army soldiers. The accident death rate fell sharply among currently deployed soldiers, remained constant among the previously deployed, and trended upward among the never deployed. Increased suicide risk was associated with being a man (or a woman during deployment), white race/ethnicity, junior enlisted rank, recent demotion, and current or previous deployment. Sociodemographic and Army experience predictors were generally similar for suicides and accident deaths. Time trends in these predictors and in the Army's increased use of accession waivers (which relaxed some qualifications for new soldiers) do not explain the rise in Army suicides. CONCLUSIONS AND RELEVANCE: Predictors of Army suicides were largely similar to those reported elsewhere for civilians, although some predictors distinct to Army service emerged that deserve more in-depth analysis. The existence of a time trend in suicide risk among never-deployed soldiers argues indirectly against the view that exposure to combat-related trauma is the exclusive cause of the increase in Army suicides.","Accidents, Occupational/prevention & control/*psychology/*trends Adult *Afghan Campaign 2001- Cause of Death/trends Combat Disorders/mortality/prevention & control/psychology Cross-Sectional Studies Female Forecasting Humans Incidence *Iraq War, 2003-2011 Male Military Personnel/*psychology/*statistics & numerical data *Resilience, Psychological Risk Assessment/*methods/*statistics & numerical data Risk Factors Statistics as Topic Stress Disorders, Post-Traumatic/mortality/prevention & control/psychology Suicide/prevention & control/*psychology/*trends United States Young Adult"
23380890,"The effect of glucagon-like peptide-1 receptor agonist therapy on body mass index in adolescents with severe obesity: a randomized, placebo-controlled, clinical trial.",JAMA Pediatr,Kelly AS and Rudser KD and Nathan BM and Fox CK and Metzig AM and Coombes BJ and Fitch AK and Bomberg EM and Abuzzahab MJ,umn,"IMPORTANCE: Medical treatment options for pediatric obesity remain limited. Glucagon-like peptide-1 (GLP-1) receptor agonists induce weight loss by suppressing appetite and increasing satiety, but few studies have evaluated this therapy as a treatment for obesity. OBJECTIVE: To evaluate the effects of exenatide on body mass index (BMI; calculated as weight in kilograms divided by height in meters squared) and cardiometabolic risk factors in adolescents with severe obesity. DESIGN: Three-month, randomized, double-blind, placebo-controlled, multicenter clinical trial followed by a 3-month open-label extension. SETTING: An academic medical center and an outpatient pediatric endocrinology clinic. PATIENTS: A total of 26 adolescents (12-19 years of age) with severe obesity (BMI >/= 1.2 times the 95th percentile or BMI >/= 35). INTERVENTION: All patients received lifestyle modification counseling and were equally randomized to exenatide or placebo injection, twice per day. MAIN OUTCOME MEASURES: The primary end point was the mean percent change in BMI measured at baseline and 3 months. Secondary end points included absolute change in BMI, body weight, body fat, blood pressure, hemoglobin A1c, fasting glucose, fasting insulin, and lipids at 3 months. RESULTS: Twenty-two patients completed the trial. Exenatide elicited a greater reduction in percent change in BMI compared with placebo (-2.70% [95% CI, -5.02% to -0.37%]; P = .03). Similar findings were observed for absolute change in BMI (-1.13 [95% CI, -2.03 to -0.24]; P = .02) and body weight (-3.26 kg [95% CI, -5.87 to -0.66 kg]; P = .02). Although not reaching the level of statistical significance, reduction in systolic blood pressure was observed with exenatide. During the open-label extension, BMI was further reduced in those initially randomized to exenatide (cumulative BMI reduction of 4%). CONCLUSIONS AND RELEVANCE: These results provide preliminary evidence supporting the feasibility, safety, and efficacy of GLP-1 receptor agonist therapy for the treatment of severe obesity in adolescents. TRIAL REGISTRATION: clinicaltrials.gov Identifier: NCT01237197.","Adolescent Body Constitution/drug effects *Body Mass Index Double-Blind Method Female Glucagon-Like Peptide 1/*agonists Humans Hypoglycemic Agents/*pharmacology Male Peptides/*pharmacology Receptors, Glucagon/*agonists Satiety Response/*drug effects Venoms/*pharmacology"
23392399,Prospective study of inflammatory biomarkers and risk of diabetic retinopathy in the diabetes control and complications trial.,JAMA Ophthalmol,Muni RH and Kohly RP and Lee EQ and Manson JE and Semba RD and Schaumberg DA,Missing,"IMPORTANCE: This study demonstrates that increasing quintiles of baseline high-sensitivity C-reactive protein (hsCRP) level may be associated with higher risk of incident clinically significant macular edema, the leading cause of vision loss in working-aged individuals in North America. OBJECTIVE: To determine whether baseline levels of hsCRP and intercellular adhesion molecule 1 (ICAM-1) predict development and progression of diabetic retinopathy (DR), clinically significant macular edema (CSME), retinal hard exudates, and proliferative DR in the Diabetes Control and Complications Trial (DCCT) cohort. DESIGN: The DCCT was a large multicenter randomized controlled clinical trial. SETTING: Twenty-nine medical centers in the United States and Canada. PARTICIPANTS: The DCCT population consisted of 1441 subjects with type 1 diabetes mellitus aged 13 to 39 years at study entry. INTERVENTION: We measured levels of hsCRP, ICAM-1, vascular cell adhesion molecule 1, and tumor necrosis factor alpha receptor 1 in stored baseline blood samples. MAIN OUTCOME MEASURES: We assessed the association of levels of hsCRP, ICAM-1, vascular cell adhesion molecule 1, and tumor necrosis factor alpha receptor 1 with incident DR end points ascertained from grading of standardized 7-field stereoscopic retinal color photographs taken at baseline and every 6 months during follow-up. RESULTS: After adjustment for randomized treatment assignment and other factors, we observed a statistically significant association between hsCRP and risk of CSME, with a relative risk (RR) for the top vs bottom quintile of 1.83 (95% CI, 0.94-3.55; P for trend = .01). Similarly, for the development of retinal hard exudates, the RR for the top vs bottom quintile of hsCRP level was 1.78 (95% CI, 0.98-3.25; P for trend = .004), whereas for ICAM-1 level, the RR comparing the top vs bottom quintiles was 1.50 (95% CI, 0.84-2.68; P for trend = .05). There were no statistically significant associations between baseline VCAM-1 or tumor necrosis factor alpha receptor 1 levels and risk of any of the DR end points. CONCLUSIONS AND RELEVANCE: After adjusting for known risk factors, increasing quintiles of baseline hsCRP level may be associated with higher risk of incident CSME and macular hard exudate in the DCCT cohort. Circulating levels of ICAM-1 may also be associated with the development of retinal hard exudates.","Adolescent Adult Biological Markers/*blood C-Reactive Protein/*metabolism Chromatography, High Pressure Liquid Diabetes Mellitus, Type 1/complications Diabetic Retinopathy/blood/*diagnosis Enzyme-Linked Immunosorbent Assay Hemoglobin A, Glycosylated/metabolism Humans Intercellular Adhesion Molecule-1/*blood Macular Edema/blood/diagnosis Nephelometry and Turbidimetry Prospective Studies Receptors, Tumor Necrosis Factor, Type I/*blood Risk Assessment Risk Factors Vascular Cell Adhesion Molecule-1/*blood Young Adult"
