22177991,Eighty-year trends in infant weight and length growth: the Fels Longitudinal Study.,J Pediatr,Johnson W and Choh AC and Soloway LE and Czerwinski SA and Towne B and Demerath EW,Missing,"OBJECTIVES: To investigate secular trends in weight and length growth from birth to 3 years of age in infants born from 1930 to 2008, and to assess whether these trends were associated with concurrent trends in pace of infant skeletal maturation and maternal body mass index. STUDY DESIGN: Longitudinal weight and length data from 620 infants (302 girls) were analyzed with mixed effects modeling to produce growth curves and predicted anthropometry for infants born from 1930 to 1949, 1950 to 1969, 1970 to 1989, and 1990 to 2008. RESULTS: The most pronounced differences in growth occurred in the first year of life. Infants born after 1970 were approximately 450 g heavier and 1.4 cm longer at birth, but demonstrated slower growth to 1 year of age than infants born before 1970. Growth trajectories converged after 1 year of age. There was no evidence that relative skeletal age, maternal body mass index, or maternal age together mediated associations between cohort and growth. CONCLUSIONS: Recent birth cohorts may be characterized not only by greater birth size, but also by subsequent catch-down growth. Trends over time in human growth do not increase monotonically, and growth velocity in the first year may have declined compared with preceding generations.","Analysis of Variance *Birth Weight Body Composition *Body Height Body Mass Index Child Development/*physiology Cohort Studies Female Follow-Up Studies Growth and Development/*physiology Humans Infant Infant, Newborn Linear Models Longitudinal Studies Male Risk Factors Sex Factors Time Factors"
22183210,Increased live birth rate in twin pregnancies resulting from embryo assistance.,Obstet Gynecol,Miro F and Vidal E and Balasch J,Missing,"OBJECTIVE: To estimate why the live birth rate per implanted embryo is higher in twin than in singleton pregnancies. METHODS: Data from 1,159 singleton and 523 dichorionic twin pregnancies, obtained after assisted conception, were included. To account for the higher live birth rate observed in twin pregnancies, two possibilities were considered: embryo collaboration and assistance. To test these hypotheses, we compared the observed values for each possible outcome in twin pregnancies (double birth, single birth, double loss) with the expected values regarding as the null hypothesis that the survival of either embryo is independent from the presence of the other. The effect of maternal age was also examined. RESULTS: Live birth rate, per implanted embryo, was higher in twin than in singleton pregnancies: 83% compared with 76% (odds ratio 1.53, 95% confidence interval 1.24-1.88; P<.001). There were significant differences between the observed outcomes in twin pregnancies and those expected assuming no interaction between embryos (P<.001). The number of double births was higher than expected (71.9% observed compared with 57.7% expected), whereas single births were lower to a similar extent (22% observed compared with 36.5% expected). In contrast, observed and expected double losses were similar (6.1% observed compared with 5.8% expected). Although the overall rate of miscarriage was higher for women aged 34 years and older, the difference in live birth rate between twin and singleton pregnancies was 2.4-fold higher than in younger women. CONCLUSION: The higher live birth rate occurring in twin pregnancies can be accounted for by assistance, whereby some embryos that would fail as singletons survive in a twin pregnancy when implanted along with a fit sibling. This effect is more pronounced in older mothers.","Embryo Loss/epidemiology *Embryonic Development Female Humans *Live Birth Maternal Age Pregnancy Pregnancy, Twin/*physiology/statistics & numerical data *Reproductive Techniques, Assisted Retrospective Studies Spain/epidemiology"
22170364,"Beef in an Optimal Lean Diet study: effects on lipids, lipoproteins, and apolipoproteins.",Am J Clin Nutr,Roussell MA and Hill AM and Gaugler TL and West SG and Heuvel JP and Alaupovic P and Gillies PJ and Kris-Etherton PM,Missing,"BACKGROUND: A Step I diet with lean beef compared with lean white meat both decrease LDL cholesterol. To our knowledge, no studies have evaluated a low-saturated fatty acid (SFA) (<7% calories) diet that contains lean beef. OBJECTIVE: We studied the effect on LDL cholesterol of cholesterol-lowering diets with varying amounts of lean beef [ie, Dietary Approaches to Stop Hypertension (DASH): 28 g beef/d; Beef in an Optimal Lean Diet (BOLD): 113 g beef/d; and Beef in an Optimal Lean Diet plus additional protein (BOLD+): 153 g beef/d] compared with that of a healthy American diet (HAD). DESIGN: Thirty-six hypercholesterolemic participants (with LDL-cholesterol concentrations >2.8 mmol/L) were randomly assigned to consume each of the 4 diets (HAD: 33% total fat, 12% SFA, 17% protein, and 20 g beef/d), DASH (27% total fat, 6% SFA, 18% protein, and 28 g beef/d), BOLD (28% total fat, 6% SFA, 19% protein, and 113 g beef/d), and BOLD+ (28% total fat, 6% SFA, 27% protein, and 153 g beef/d) for 5 wk. RESULTS: There was a decrease in total cholesterol (TC) and LDL-cholesterol concentrations (P < 0.05) after consumption of the DASH (-0.49 +/- 0.11 and -0.37 +/- 0.09 mmol/L, respectively), BOLD (-0.48 +/- 0.10 and -0.35 +/- 0.9 mmol/L, respectively), and BOLD+ (-0.50 +/- 0.10 and -0.345 +/- 0.09 mmol/L, respectively) diets compared with after consumption of the HAD (-0.22 +/- 0.10 and -0.14 +/- 0.10 mmol/L, respectively). Apolipoprotein A-I, C-III, and C-III bound to apolipoprotein A1 particles decreased after BOLD and BOLD+ diets compared with after the HAD, and there was a greater decrease in apolipoprotein B after consumption of the BOLD+ diet than after consumption of the HAD (P < 0.05 for both). LDL cholesterol and TC decreased after consumption of the DASH, BOLD, and BOLD+ diets when the baseline C-reactive protein (CRP) concentration was <1 mg/L; LDL cholesterol and TC decreased when baseline CRP concentration was >1 mg/L with the BOLD and BOLD+ diets. CONCLUSIONS: Low-SFA, heart-healthy dietary patterns that contain lean beef elicit favorable effects on cardiovascular disease (CVD) lipid and lipoprotein risk factors that are comparable to those elicited by a DASH dietary pattern. These results, in conjunction with the beneficial effects on apolipoprotein CVD risk factors after consumption of the BOLD and BOLD+ diets, which were greater with the BOLD+ diet, provide support for including lean beef in a heart-healthy dietary pattern. This trial was registered at clinicaltrials.gov as NCT00937898.","Animals Apolipoproteins/*blood C-Reactive Protein/*metabolism Cattle Cholesterol/*blood Cholesterol, LDL/blood *Diet, Fat-Restricted Dietary Fats/administration & dosage Dietary Proteins/administration & dosage Female Humans Hypercholesterolemia/blood/*diet therapy Male *Meat Middle Aged"
22176841,Physical activity and other health-risk behaviors during the transition into early adulthood: a longitudinal cohort study.,Am J Prev Med,Kwan MY and Cairney J and Faulkner GE and Pullenayegum EE,Missing,"BACKGROUND: Research consistently demonstrates that physical activity declines with age. However, such declines do not occur linearly. The transition into early adulthood is one period in which disproportionate declines in physical activity have been evident, but much of our understanding of such declines among young adults has been based on either cross-sectional data or prospective studies that focus exclusively on college/university students. PURPOSE: The purpose of the current study was to use multilevel modeling to discern patterns of physical activity based on gender and educational trajectory among a nationally representative cohort of Canadian adolescents (N=640; ages at baseline, 12-15 years). Examinations of smoking and binge drinking also were conducted as a basis for comparison. METHODS: Drawn from seven cycles of the National Population Health Survey (NPHS), participants were interviewed every 2 years from 1994-1995 to 2006-2007; data analysis was conducted in 2010. RESULTS: Overall, there was a 24% decrease in physical activity (equivalent to 1 MET/day) across the 12-year period. A significant three-way time X gender X educational trajectory interaction (coefficient= -0.189, SE=0 .09, p<0.05) emerged in the physical activity analysis; main effects in time(2) (coefficient= -0.114, SE=0.01, p<0.01) and time(3) (coefficient=0.028, SE=0.01, p<0.01) were significant for binge drinking and smoking, respectively. CONCLUSIONS: Physical activity decline was evident during young adults' transition into early adulthood, with declines being steepest among men who entered a college/university. Although there were increases in several health-risk behaviors during adolescence, individuals tend to grow out of binge drinking and smoking as they mature.",Adolescent Adult Age Factors Alcohol Drinking/*epidemiology Canada Child Cohort Studies Educational Status Female *Health Behavior Health Surveys Humans Longitudinal Studies Male *Motor Activity Risk-Taking Sex Factors Smoking/*epidemiology Students/statistics & numerical data Time Factors Universities Young Adult
22193170,Is illicit drug use harmful to cognitive functioning in the midadult years? A cohort-based investigation.,Am J Epidemiol,Dregan A and Gulliford MC,Missing,"From March to July of 2011, the authors investigated the prospective association between illicit drug use and cognitive functioning during the midadult years. A total of 8,992 participants who were surveyed at 42 years of age in the National Child Development Study (1999-2000) were included. The authors analyzed data on 3 cognitive functioning measures (memory index, executive functioning index, and overall cognitive index) when the participants were 50 years of age (2008-2009). Illicit drug use at 42 years of age was based on self-reported current or past use of any of 12 illicit drugs. Multivariable regression analyses were performed to estimate the association between different illicit drug use measures at 42 years of age and cognitive functioning at 50 years of age. A positive association was observed between ever (past or current) illicit drug use and cognitive functioning (beta = 0.62, P < 0.001), although the effect size was small. Even though there was no clear evidence against the null hypothesis, drug dependence (beta = -0.27, P = 0.58) and long-term illicit drug use (beta = -0.04, P = 0.87) tended to be negatively associated with cognitive functioning. At the population level, it does not appear that current illicit drug use is associated with impaired cognitive functioning in early middle age. However, the authors cannot exclude the possibility that some individuals and groups, such as those with heavier or more prolonged use, could be harmed.",Adult Cognition/*drug effects Humans Middle Aged Prospective Studies Regression Analysis Street Drugs/*adverse effects
22213750,Physical activity and performance at school: a systematic review of the literature including a methodological quality assessment.,Arch Pediatr Adolesc Med,Singh A and Uijtdewilligen L and Twisk JW and van Mechelen W and Chinapaw MJ,vumc,"OBJECTIVE: To describe the prospective relationship between physical activity and academic performance. DATA SOURCES: Prospective studies were identified from searches in PubMed, PsycINFO, Cochrane Central, and Sportdiscus from 1990 through 2010. STUDY SELECTION: We screened the titles and abstracts for eligibility, rated the methodological quality of the studies, and extracted data. MAIN EXPOSURE: Studies had to report at least 1 physical activity or physical fitness measurement during childhood or adolescence. MAIN OUTCOME MEASURES: Studies had to report at least 1 academic performance or cognition measure during childhood or adolescence. RESULTS: We identified 10 observational and 4 intervention studies. The quality score of the studies ranged from 22% to 75%. Two studies were scored as high quality. Methodological quality scores were particularly low for the reliability and validity of the measurement instruments. Based on the results of the best-evidence synthesis, we found evidence of a significant longitudinal positive relationship between physical activity and academic performance. CONCLUSIONS: Participation in physical activity is positively related to academic performance in children. Because we found only 2 high-quality studies, future high-quality studies are needed to confirm our findings. These studies should thoroughly examine the dose-response relationship between physical activity and academic performance as well as explanatory mechanisms for this relationship.",*Achievement Adolescent Child *Cognition Exercise/*psychology Humans Physical Fitness/*psychology Schools
22170362,Isoflavone intake and risk of gastric cancer: a population-based prospective cohort study in Japan.,Am J Clin Nutr,Hara A and Sasazuki S and Inoue M and Iwasaki M and Shimazu T and Sawada N and Yamaji T and Tsugane S,Missing,"BACKGROUND: Isoflavones are structurally similar to 17beta-estradiol and may be able to prevent gastric cancer. However, there is contradictory evidence concerning the relation between the intake of soy food, which is rich in isoflavones, and gastric cancer. The association with gastric cancer might differ between isoflavones and soy foods, and research on the effects of isoflavone intake alone on gastric cancer is needed. OBJECTIVE: We investigated the association between isoflavone intake and the incidence of gastric cancer. DESIGN: We conducted a large, population-based prospective study of 39,569 men and 45,312 women aged 45-74 y. Dietary soy and isoflavone intakes were measured by using a validated food-frequency questionnaire in 1995 and 1998. RESULTS: During 806,550 person-years of follow-up, we identified 1249 new gastric cancer cases. Isoflavone intake was not associated with gastric cancer in either men or women. Compared with the lowest quartile, the HR and 95% CI for developing gastric cancer in the fourth quartile of isoflavone intake was 1.00 (0.81, 1.24) for men and 1.07 (0.77, 1.50) for women. In a stratified analysis by exogenous female hormones (women only), however, we found an increasing trend in risk of gastric cancer associated with higher isoflavone intakes among exogenous female hormone users (P-trend = 0.03) but not for nonusers (P-interaction = 0.04). CONCLUSION: The current study does not support the hypothesis that higher intakes of isoflavones prevent gastric cancer in either men or women.",Aged *Diet Diet Surveys Estrogen Replacement Therapy Female Follow-Up Studies Humans Incidence Isoflavones/*pharmacology Japan/epidemiology Male Middle Aged Plant Preparations/chemistry/*pharmacology Prospective Studies Questionnaires Risk *Soy Foods Soybeans/*chemistry Stomach Neoplasms/*epidemiology/prevention & control
22196775,Carotid intimal-medial thickness in active professional American football players aged 23 to 35 years.,Am J Cardiol,Hurst RT and Nelson MR and Kendall CB and Cha SS and Ressler SW and Lester SJ,mayo,"Risk of cardiovascular disease and death in retired professional American football players may be higher than that in the general population. Previously published data have demonstrated that American football players have less glucose intolerance, less smoking, similar lipid profiles, and higher blood pressure despite a much larger body compared to the general population, although the presence of subclinical atherosclerosis in these subjects has not been evaluated. This study compared the prevalence of subclinical atherosclerosis in active professional American football players to that in age-, gender-, and race-matched controls derived from the Bogalusa Heart Study. Carotid intimal-medial thickness (CIMT) was used as an indicator of subclinical atherosclerosis in 75 active American football players (23 to 35 years old, 31 white, 44 African-American) as measured by B-mode ultrasonography at Mayo Clinic, Scottsdale, Arizona, on September 13 and 14, 2009. CIMT measurements of 75 athletes were compared to those of 518 matched controls who had CIMT determinations in 1995 and 1996. Two-group t tests determined population similarities between groups. In a generalized linear model, players (overall and by race) had lower CIMT values than controls after age and race adjustment (p <0.001 for all comparisons). Nonlinemen and linemen had lower CIMT values than controls (p < 0.001 and p = 0.004, respectively). In conclusion, active professional American football players, regardless of position, had mean CIMT values similar to or lower than those in a matched general population cohort, suggesting that if the prevalence of subclinical atherosclerosis is increased in retired professional American football players, this occurs after retirement.",Adult Cardiovascular Diseases/*epidemiology/etiology Carotid Arteries/*ultrasonography Carotid Intima-Media Thickness/*statistics & numerical data Female *Football Humans Incidence Male Retrospective Studies Risk Factors United States/epidemiology Young Adult
22168350,Does minimum pricing reduce alcohol consumption? The experience of a Canadian province.,Addiction,Stockwell T and Auld MC and Zhao J and Martin G,Missing,"AIMS: Minimum alcohol prices in British Columbia have been adjusted intermittently over the past 20 years. The present study estimates impacts of these adjustments on alcohol consumption. DESIGN: Time-series and longitudinal models of aggregate alcohol consumption with price and other economic data as independent variables. SETTING: British Columbia (BC), Canada. PARTICIPANTS: The population of British Columbia, Canada, aged 15 years and over. MEASUREMENTS: Data on alcohol prices and sales for different beverages were provided by the BC Liquor Distribution Branch for 1989-2010. Data on household income were sourced from Statistics Canada. FINDINGS: Longitudinal estimates suggest that a 10% increase in the minimum price of an alcoholic beverage reduced its consumption relative to other beverages by 16.1% (P < 0.001). Time-series estimates indicate that a 10% increase in minimum prices reduced consumption of spirits and liqueurs by 6.8% (P = 0.004), wine by 8.9% (P = 0.033), alcoholic sodas and ciders by 13.9% (P = 0.067), beer by 1.5% (P = 0.043) and all alcoholic drinks by 3.4% (P = 0.007). CONCLUSIONS: Increases in minimum prices of alcoholic beverages can substantially reduce alcohol consumption.",Adolescent Adult Aged Alcohol Drinking/*economics/legislation & jurisprudence/prevention & control Alcoholic Beverages/*economics/statistics & numerical data British Columbia Commerce/*legislation & jurisprudence/statistics & numerical data Health Policy/economics/legislation & jurisprudence Humans Longitudinal Studies Middle Aged Young Adult
22215166,Bariatric surgery and long-term cardiovascular events.,JAMA,Sjostrom L and Peltonen M and Jacobson P and Sjostrom CD and Karason K and Wedel H and Ahlin S and Anveden A and Bengtsson C and Bergmark G and Bouchard C and Carlsson B and Dahlgren S and Karlsson J and Lindroos AK and Lonroth H and Narbro K and Naslund I and Olbers T and Svensson PA and Carlsson LM,Missing,"CONTEXT: Obesity is a risk factor for cardiovascular events. Weight loss might protect against cardiovascular events, but solid evidence is lacking. OBJECTIVE: To study the association between bariatric surgery, weight loss, and cardiovascular events. DESIGN, SETTING, AND PARTICIPANTS: The Swedish Obese Subjects (SOS) study is an ongoing, nonrandomized, prospective, controlled study conducted at 25 public surgical departments and 480 primary health care centers in Sweden of 2010 obese participants who underwent bariatric surgery and 2037 contemporaneously matched obese controls who received usual care. Patients were recruited between September 1, 1987, and January 31, 2001. Date of analysis was December 31, 2009, with median follow-up of 14.7 years (range, 0-20 years). Inclusion criteria were age 37 to 60 years and a body mass index of at least 34 in men and at least 38 in women. Exclusion criteria were identical in surgery and control patients. Surgery patients underwent gastric bypass (13.2%), banding (18.7%), or vertical banded gastroplasty (68.1%), and controls received usual care in the Swedish primary health care system. Physical and biochemical examinations and database cross-checks were undertaken at preplanned intervals. MAIN OUTCOME MEASURES: The primary end point of the SOS study (total mortality) was published in 2007. Myocardial infarction and stroke were predefined secondary end points, considered separately and combined. RESULTS: Bariatric surgery was associated with a reduced number of cardiovascular deaths (28 events among 2010 patients in the surgery group vs 49 events among 2037 patients in the control group; adjusted hazard ratio [HR], 0.47; 95% CI, 0.29-0.76; P = .002). The number of total first time (fatal or nonfatal) cardiovascular events (myocardial infarction or stroke, whichever came first) was lower in the surgery group (199 events among 2010 patients) than in the control group (234 events among 2037 patients; adjusted HR, 0.67; 95% CI, 0.54-0.83; P < .001). CONCLUSION: Compared with usual care, bariatric surgery was associated with reduced number of cardiovascular deaths and lower incidence of cardiovascular events in obese adults.",Adult *Bariatric Surgery Cardiovascular Diseases/*mortality/prevention & control Case-Control Studies Female Follow-Up Studies Humans Incidence Male Middle Aged Myocardial Infarction/mortality/prevention & control Obesity/*surgery Prospective Studies Stroke/mortality/prevention & control Sweden/epidemiology *Weight Loss
22217938,Vaccine protection against acquisition of neutralization-resistant SIV challenges in rhesus monkeys.,Nature,Barouch DH and Liu J and Li H and Maxfield LF and Abbink P and Lynch DM and Iampietro MJ and SanMiguel A and Seaman MS and Ferrari G and Forthal DN and Ourmanov I and Hirsch VM and Carville A and Mansfield KG and Stablein D and Pau MG and Schuitemaker H and Sadoff JC and Billings EA and Rao M and Robb ML and Kim JH and Marovich MA and Goudsmit J and Michael NL,harvard,"Preclinical studies of human immunodeficiency virus type 1 (HIV-1) vaccine candidates have typically shown post-infection virological control, but protection against acquisition of infection has previously only been reported against neutralization-sensitive virus challenges. Here we demonstrate vaccine protection against acquisition of fully heterologous, neutralization-resistant simian immunodeficiency virus (SIV) challenges in rhesus monkeys. Adenovirus/poxvirus and adenovirus/adenovirus-vector-based vaccines expressing SIV(SME543) Gag, Pol and Env antigens resulted in an 80% or greater reduction in the per-exposure probability of infection against repetitive, intrarectal SIV(MAC251) challenges in rhesus monkeys. Protection against acquisition of infection showed distinct immunological correlates compared with post-infection virological control and required the inclusion of Env in the vaccine regimen. These data demonstrate the proof-of-concept that optimized HIV-1 vaccine candidates can block acquisition of stringent, heterologous, neutralization-resistant virus challenges in rhesus monkeys.","AIDS Vaccines/immunology Adenoviridae/genetics/immunology Animals Antibodies, Neutralizing/*immunology Enzyme-Linked Immunosorbent Assay Female HIV-1/immunology Macaca mulatta/*immunology Male Neutralization Tests SAIDS Vaccines/*immunology Simian immunodeficiency virus/*immunology Viral Vaccines/immunology"
